Nr;Altersgruppe;Geschlecht;Verheiratet;Kinderzahl;Abschluss;Beruf;Familieneinkommen;Buch;Belief;Plausibility;Zweifel
1;25-35;m;nein;1;Realschule;Arbeitslos;1000-1999;Buch_C;1.0000000000000164;1.0000000000000164;-1.6431300764452317E-14
2;36-49;m;nein;0;Hochschule;Angestellter;3000-3999;Buch_C;1.0000000000000089;1.0000000000000089;-8.881784197001252E-15
3;25-35;m;ja;1;Hochschule;Fuehrungskraft;5000 und mehr;Buch_C;1.0000000000000009;1.0000000000000009;-8.881784197001252E-16
4;36-49;w;nein;0;Gymnasium;Angestellter;2000-2999;Buch_C;0.9999999999999424;0.9999999999999424;5.762057497804562E-14
5;<18;w;nein;0;keiner;Hausfrau;2000-2999;Buch_A;0.5884126425321213;0.5884126425321213;0.41158735746787867
6;19-24;w;ja;1;Hauptschule;Arbeitslos;1000-1999;Buch_B;0.9995789555327246;0.9995789555327246;4.210444672754221E-4
7;25-35;w;ja;1;Hochschule;Arbeitslos;<1000;Buch_C;1.0000000000000113;1.0000000000000113;-1.1324274851176597E-14
8;<18;w;nein;0;keiner;Angestellter;2000-2999;Buch_A;0.7585045400160036;0.7585045400160036;0.24149545998399635
9;19-24;w;nein;0;keiner;Selbstaendig;1000-1999;Buch_B;0.6834785542364864;0.6834785542364864;0.3165214457635136
0;19-24;m;nein;3;keiner;Angestellter;3000-3999;Buch_C;1.000000000000906;1.000000000000906;-9.059419880941277E-13
10;50-65;m;nein;0;Promotion;Fuehrungskraft;5000 und mehr;Buch_C;1.0;1.0;0.0
11;<18;m;nein;0;Realschule;Angestellter;3000-3999;Buch_C;1.0000000000000129;1.0000000000000129;-1.2878587085651816E-14
12;<18;w;ja;1;keiner;Arbeitslos;<1000;Buch_A;0.9982379901495662;0.9982379901495662;0.0017620098504338433
13;36-49;m;nein;0;Hochschule;Angestellter;2000-2999;Buch_C;1.0000000000000158;1.0000000000000158;-1.5765166949677223E-14
14;36-49;w;ja;2;Hochschule;Arbeiter;1000-1999;Buch_C;0.9999999999999937;0.9999999999999946;5.440092820663267E-15
15;36-49;w;ja;0;Realschule;Angestellter;1000-1999;Buch_C;1.000000000000005;1.000000000000005;-5.10702591327572E-15
16;36-49;w;nein;0;Hochschule;Hausfrau;3000-3999;Buch_C;1.0000000000000295;1.0000000000000295;-2.9531932455029164E-14
17;25-35;m;nein;1;Hochschule;Angestellter;3000-3999;Buch_C;1.0000000000000064;1.0000000000000064;-6.439293542825908E-15
18;50-65;m;nein;0;keiner;Rentner;1000-1999;Buch_A;0.992991621662103;0.992991621662103;0.0070083783378970255
19;50-65;w;nein;1;Hochschule;Angestellter;2000-2999;Buch_C;1.0000000000000084;1.0000000000000084;-8.43769498715119E-15
20;25-35;m;nein;1;Gymnasium;Selbstaendig;5000 und mehr;Buch_C;1.0000000000000047;1.0000000000000047;-4.6629367034256575E-15
21;19-24;m;ja;0;Gymnasium;Angestellter;2000-2999;Buch_C;1.000000000000791;1.000000000000791;-7.909228827429615E-13
22;25-35;w;ja;4;Hochschule;Hausfrau;2000-2999;Buch_C;1.0000000000000004;1.0000000000000004;-4.440892098500626E-16
23;36-49;w;ja;1;keiner;Angestellter;2000-2999;Buch_A;0.9889242793786492;0.9889242793786492;0.01107572062135076
24;50-65;m;ja;2;Hauptschule;Angestellter;2000-2999;Buch_C;1.0000000000000024;1.0000000000000024;-2.4424906541753444E-15
25;19-24;m;nein;0;Gymnasium;Angestellter;3000-3999;Buch_C;1.000000000000344;1.000000000000344;-3.439470930288735E-13
26;36-49;m;ja;0;Hochschule;Angestellter;2000-2999;Buch_C;1.0000000000000127;1.0000000000000127;-1.2656542480726785E-14
27;36-49;w;ja;2;keiner;Arbeiter;1000-1999;Buch_A;0.9984791483230618;0.9984791483230618;0.001520851676938162
28;25-35;m;nein;0;Hochschule;Arbeitslos;<1000;Buch_C;1.0000000000000124;1.0000000000000124;-1.2434497875801753E-14
29;50-65;w;nein;0;Promotion;Hausfrau;3000-3999;Buch_C;1.0000000000000295;1.0000000000000295;-2.9531932455029164E-14
30;<18;w;nein;0;keiner;Hausfrau;2000-2999;Buch_A;0.5884126425321213;0.5884126425321213;0.41158735746787867
31;36-49;m;ja;2;Hochschule;Selbstaendig;2000-2999;Buch_C;1.0000000000000004;1.0000000000000004;-4.440892098500626E-16
32;<18;m;nein;0;Realschule;Angestellter;1000-1999;Buch_C;0.9999999999999821;0.9999999999999821;1.787459069646502E-14
33;36-49;m;nein;0;keiner;Angestellter;1000-1999;Buch_A;0.9970014152716847;0.9970014152716847;0.002998584728315268
34;36-49;w;nein;0;Hochschule;Selbstaendig;5000 und mehr;Buch_C;1.0000000000000018;1.0000000000000018;-1.7763568394002505E-15
35;19-24;w;nein;0;keiner;Selbstaendig;3000-3999;Buch_B;0.999589770113792;0.999589770113792;4.1022988620798007E-4
36;50-65;m;nein;0;Hochschule;Rentner;2000-2999;Buch_C;1.0000000000000073;1.0000000000000073;-7.327471962526033E-15
37;<18;m;nein;0;keiner;Angestellter;2000-2999;Buch_A;0.998933322149101;0.998933322149101;0.0010666778508989783
38;19-24;w;nein;0;keiner;Hausfrau;4000-4999;Buch_B;0.9999794805088692;0.9999794805088692;2.0519491130799317E-5
39;25-35;m;nein;0;keiner;Arbeiter;2000-2999;Buch_A;0.9936971457538448;0.9936971457538448;0.006302854246155176
40;25-35;w;nein;0;Hochschule;Selbstaendig;2000-2999;Buch_C;1.0000000000000178;1.0000000000000178;-1.7763568394002505E-14
41;25-35;w;nein;1;keiner;Hausfrau;4000-4999;;0.0;0.0;0.0
42;25-35;w;nein;0;Realschule;Angestellter;2000-2999;;0.0;0.0;0.0
43;36-49;m;ja;1;Hochschule;Fuehrungskraft;5000 und mehr;;0.0;0.0;0.0
44;36-49;m;nein;1;Hauptschule;Angestellter;3000-3999;;0.0;0.0;0.0
45;25-35;m;nein;0;Hochschule;Selbstaendig;3000-3999;;0.0;0.0;0.0
46;25-35;m;nein;1;Hochschule;Lehrer;2000-2999;;0.0;0.0;0.0
47;19-24;w;nein;0;Hauptschule;Angestellter;2000-2999;;0.0;0.0;0.0
48;25-35;w;ja;1;Hochschule;Lehrer;2000-2999;;0.0;0.0;0.0
49;25-35;m;ja;3;Promotion;Fuehrungskraft;5000 und mehr;;0.0;0.0;0.0
50;25-35;w;ja;0;Hochschule;Hausfrau;3000-3999;;0.0;0.0;0.0
51;19-24;w;nein;0;keiner;Angestellter;3000-3999;;0.0;0.0;0.0
52;<18;m;ja;0;keiner;Angestellter;2000-2999;;0.0;0.0;0.0
53;36-49;w;ja;3;keiner;Angestellter;2000-2999;;0.0;0.0;0.0
54;<18;w;ja;0;Realschule;Angestellter;2000-2999;;0.0;0.0;0.0
55;19-24;m;nein;0;keiner;Arbeiter;1000-1999;;0.0;0.0;0.0
56;<18;m;nein;0;keiner;Angestellter;3000-3999;;0.0;0.0;0.0
57;36-49;m;nein;1;Hauptschule;Angestellter;2000-2999;;0.0;0.0;0.0
58;19-24;w;nein;0;keiner;Hausfrau;2000-2999;;0.0;0.0;0.0
59;19-24;w;nein;0;Hauptschule;Hausfrau;1000-1999;;0.0;0.0;0.0
60;19-24;w;nein;0;Gymnasium;Angestellter;2000-2999;;0.0;0.0;0.0
61;19-24;w;nein;0;Gymnasium;Angestellter;2000-2999;;0.0;0.0;0.0
62;>65;w;ja;1;Hochschule;Rentner;2000-2999;;0.0;0.0;0.0
63;36-49;w;nein;0;keiner;Hausfrau;<1000;;0.0;0.0;0.0
64;36-49;w;nein;0;Gymnasium;Angestellter;2000-2999;;0.0;0.0;0.0
65;19-24;m;nein;0;Realschule;Arbeitslos;2000-2999;;0.0;0.0;0.0
66;25-35;m;nein;1;keiner;Arbeitslos;3000-3999;;0.0;0.0;0.0
67;50-65;m;ja;2;Realschule;Arbeiter;2000-2999;;0.0;0.0;0.0
68;19-24;w;ja;0;Gymnasium;Hausfrau;3000-3999;;0.0;0.0;0.0
69;36-49;w;ja;0;Hochschule;Angestellter;2000-2999;;0.0;0.0;0.0
70;50-65;w;nein;0;Realschule;Angestellter;1000-1999;;0.0;0.0;0.0
71;50-65;m;nein;0;Realschule;Arbeitslos;1000-1999;;0.0;0.0;0.0
72;36-49;m;nein;0;Realschule;Angestellter;2000-2999;;0.0;0.0;0.0
73;19-24;m;nein;0;keiner;Arbeitslos;1000-1999;;0.0;0.0;0.0
74;<18;m;nein;0;keiner;Angestellter;2000-2999;;0.0;0.0;0.0
75;36-49;m;ja;3;keiner;Arbeiter;2000-2999;;0.0;0.0;0.0
76;19-24;m;nein;0;Realschule;Arbeiter;2000-2999;;0.0;0.0;0.0
77;19-24;m;nein;0;keiner;Arbeiter;3000-3999;;0.0;0.0;0.0
78;36-49;m;nein;0;Realschule;Arbeitslos;1000-1999;;0.0;0.0;0.0
79;19-24;w;ja;1;Gymnasium;Hausfrau;2000-2999;;0.0;0.0;0.0
80;19-24;m;nein;0;keiner;Angestellter;2000-2999;;0.0;0.0;0.0
81;25-35;m;nein;0;keiner;Arbeiter;1000-1999;;0.0;0.0;0.0
82;25-35;m;nein;1;Hochschule;Angestellter;2000-2999;;0.0;0.0;0.0
83;36-49;m;nein;1;Hochschule;Fuehrungskraft;5000 und mehr;;0.0;0.0;0.0
84;19-24;w;nein;0;keiner;Angestellter;1000-1999;;0.0;0.0;0.0
85;19-24;m;nein;0;keiner;Arbeiter;2000-2999;;0.0;0.0;0.0
86;36-49;m;nein;0;keiner;Arbeitslos;1000-1999;;0.0;0.0;0.0
87;<18;w;nein;0;keiner;Angestellter;2000-2999;;0.0;0.0;0.0
88;36-49;m;ja;3;keiner;Selbstaendig;1000-1999;;0.0;0.0;0.0
89;36-49;m;nein;0;keiner;Angestellter;3000-3999;;0.0;0.0;0.0
90;19-24;m;nein;0;Gymnasium;Arbeiter;2000-2999;;0.0;0.0;0.0
91;19-24;w;nein;0;keiner;Angestellter;2000-2999;;0.0;0.0;0.0
92;<18;w;nein;0;keiner;Arbeiter;1000-1999;;0.0;0.0;0.0
93;<18;m;nein;0;Realschule;Arbeiter;2000-2999;;0.0;0.0;0.0
94;19-24;m;nein;0;keiner;Arbeiter;2000-2999;;0.0;0.0;0.0
95;25-35;w;nein;0;Realschule;Angestellter;2000-2999;;0.0;0.0;0.0
96;19-24;m;nein;1;Realschule;Arbeitslos;1000-1999;;0.0;0.0;0.0
97;50-65;m;ja;1;keiner;Arbeiter;2000-2999;;0.0;0.0;0.0
98;19-24;m;nein;0;Hochschule;Angestellter;3000-3999;;0.0;0.0;0.0
99;>65;m;nein;0;Realschule;Rentner;1000-1999;;0.0;0.0;0.0
